JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,,
ALBA ,6332,3031,3301,2454,3878,3.76,3.9,3.64,,
ARAD,4486,2473,2013,2509,1977,2.12,2.66,1.69,,
ARGES,9875,4952,4923,4285,5590,3.81,4.1,3.56,,
BACAU,12516,5241,7275,2686,9830,5.87,5.61,6.08,,
BIHOR,6280,3599,2681,3790,2490,2.38,2.95,1.88,,
BISTRITA NASAUD,4613,2362,2251,2348,2265,3.59,4.07,3.2,,
BOTOSANI,3888,1768,2120,1361,2527,2.83,2.7,2.95,,
BRAILA,5265,2207,3058,1170,4095,4.31,4,4.56,,
BRASOV,6551,3095,3456,1975,4576,2.49,2.75,2.3,,
BUZAU,10295,4103,6192,2346,7949,6,5.13,6.75,,
CALARASI,3252,1571,1681,962,2290,3.56,3.56,3.56,,
CARA?-SEVERIN,3760,1765,1995,1631,2129,3.53,3.75,3.36,,
CLUJ,6129,3326,2803,2732,3397,1.64,2.02,1.34,,
CONSTANTA,8170,4792,3378,3760,4410,2.77,3.74,2.03,,
COVASNA,4153,2034,2119,1064,3089,4.84,4.97,4.72,,
DAMBOVITA,5956,2849,3107,1652,4304,3.09,3.47,2.82,,
DOLJ,18384,7845,10539,3041,15343,6.91,6.48,7.26,,
GALATI,11622,5012,6610,2379,9243,6.12,5.84,6.34,,
GIURGIU,2235,1170,1065,739,1496,2.78,3.15,2.46,,
GORJ,5108,2373,2735,2025,3083,3.78,3.78,3.77,,
HARGHITA,6023,3003,3020,2377,3646,4.46,5.05,3.99,,
HUNEDOARA,5743,3174,2569,3262,2481,3.35,3.95,2.81,,
IALOMITA,4627,2070,2557,1526,3101,4.93,4.78,5.06,,
IASI,9676,4357,5319,2055,7621,3.25,3.13,3.37,,
ILFOV,1439,886,553,930,509,0.69,1,0.46,,
MARAMURES,4100,2054,2046,2091,2009,2.03,2.21,1.88,,
MEHEDINTI,6277,2764,3513,1669,4608,6.15,5.82,6.45,,
MUN. BUC.,14974,8127,6847,4601,10373,1.21,1.32,1.1,,
MURES,6703,3098,3605,2052,4651,2.84,2.95,2.76,,
NEAMT,9119,4018,5101,2424,6695,5.01,4.83,5.16,,
OLT,9391,4266,5125,2290,7101,5.83,5.76,5.88,,
PRAHOVA,8442,4357,4085,4169,4273,2.9,3.53,2.44,,
SALAJ,5288,2408,2880,1541,3747,5.11,5.32,4.96,,
SATU M.,5042,2358,2684,855,4187,3.45,3.5,3.4,,
SIBIU,4893,2359,2534,2237,2656,2.49,2.76,2.28,,
SUCEAVA,11353,5024,6329,4869,6484,4.9,4.74,5.04,,
TELEORMAN,9496,3993,5503,1794,7702,6.76,5.83,7.65,,
TIMIS,4180,2311,1869,2404,1776,1.19,1.49,0.96,,
TULCEA,2841,1362,1479,976,1865,3.43,3.52,3.35,,
VALCEA,6049,2996,3053,2754,3295,3.75,4.15,3.43,,
VASLUI,10431,4433,5998,1910,8521,7.81,6.85,8.72,,
VRANCEA,6015,2616,3399,1285,4730,4.41,4.1,4.68,,
Total ,290972,137602,153370,94980,195992,3.33,3.43,3.24,,
